#arch : x86_64
#CPU : x86_64
#OS : Linux
#version : 4.15.0-20-generic
#mem alloc : hugeFS
#using 1 threads
#using memory mode : SAME_BUFFER
#STEP_SIZE = 16
#LOOP_NB0 = 320000000
#buffer init with 0.0 = true
#mem_size   nb_double   time
0 ko	0	0	0
1 ko	128	0.034431	0
2 ko	256	0.012179	0
3 ko	384	0.016386	0
4 ko	512	0.017046	0
5 ko	640	0.016497	0
6 ko	768	0.014688	0
7 ko	896	0.013298	0
8 ko	1024	0.013579	0
9 ko	1152	0.013927	0
10 ko	1280	0.013667	0
11 ko	1408	0.012971	0
12 ko	1536	0.013141	0
13 ko	1664	0.013001	0
14 ko	1792	0.012825	0
15 ko	1920	0.012669	0
16 ko	2048	0.01259	0
17 ko	2176	0.012498	0
18 ko	2304	0.012379	0
19 ko	2432	0.0123	0
20 ko	2560	0.012299	0
21 ko	2688	0.012215	0
22 ko	2816	0.012127	0
23 ko	2944	0.012019	0
24 ko	3072	0.011507	0
25 ko	3200	0.011542	0
26 ko	3328	0.011798	0
27 ko	3456	0.01187	0
28 ko	3584	0.011813	0
29 ko	3712	0.011788	0
30 ko	3840	0.01166	0
31 ko	3968	0.011723	0
32 ko	4096	0.011676	0
33 ko	4224	0.011588	0
34 ko	4352	0.01179	0
35 ko	4480	0.012363	0
36 ko	4608	0.014726	0
37 ko	4736	0.014319	0
38 ko	4864	0.013921	0
39 ko	4992	0.014553	0
40 ko	5120	0.014338	0
41 ko	5248	0.01435	0
42 ko	5376	0.014314	0
43 ko	5504	0.014281	0
44 ko	5632	0.013692	0
45 ko	5760	0.0139	0
46 ko	5888	0.014025	0
47 ko	6016	0.01439	0
48 ko	6144	0.014562	0
49 ko	6272	0.014507	0
50 ko	6400	0.014538	0
51 ko	6528	0.014586	0
52 ko	6656	0.014302	0
53 ko	6784	0.014794	0
54 ko	6912	0.015748	0
55 ko	7040	0.015619	0
56 ko	7168	0.014456	0
57 ko	7296	0.013807	0
58 ko	7424	0.013792	0
